rule,side,return_low,return_high,close_location,relative_volume,minimum_price,horizon,train_n,train_mean_return,train_median_return,train_win_rate,train_profit_factor,train_t_stat,train_worst_trade,train_best_trade,validation_n,validation_mean_return,validation_median_return,validation_win_rate,validation_profit_factor,validation_t_stat,validation_worst_trade,validation_best_trade,test_n,test_mean_return,test_median_return,test_win_rate,test_profit_factor,test_t_stat,test_worst_trade,test_best_trade,sample_size_pass,stable_positive,robust_score
failed_spike_cl0.40_rv5_px5,short,,,0.4,5.0,5.0,60,33,0.22688483309477797,0.4039224446119547,0.8181818181818182,3.1225365426803475,2.5769450937395466,-1.729534121544597,0.8857692254533093,122,0.1975771083896059,0.3038288680610619,0.7459016393442623,2.572752171878993,3.472418122224292,-4.955121951219512,0.965048923400578,214,0.35662632915113607,0.47754589371980677,0.8177570093457944,4.951918444108411,8.032584751195486,-6.857825917945238,0.9671212122657082,False,False,0.6967281155929149
failed_spike_cl0.40_rv10_px10,short,,,0.4,10.0,10.0,60,30,0.28990581114936975,0.4128637171688467,0.8666666666666667,4.856610745267839,3.342301656596668,-1.729534121544597,0.8857692254533093,103,0.20104435610309507,0.307990023338369,0.7475728155339806,2.602486064926669,3.1203311417841544,-4.955121951219512,0.904944742467027,141,0.382683553056239,0.5449999999999999,0.8439716312056738,4.503376583274602,6.049698618705897,-6.857825917945238,0.9671212122657082,False,False,0.6903837463919836
failed_spike_cl0.40_rv5_px10,short,,,0.4,5.0,10.0,60,30,0.28990581114936975,0.4128637171688467,0.8666666666666667,4.856610745267839,3.342301656596668,-1.729534121544597,0.8857692254533093,107,0.20096614319492687,0.3044827875597723,0.7476635514018691,2.605987473163701,3.202741149044627,-4.955121951219512,0.965048923400578,160,0.3929571119446754,0.5413195351305777,0.85,4.963055516820539,6.954939277665253,-6.857825917945238,0.9671212122657082,False,False,0.6901151642661085
failed_spike_cl0.40_rv1.5_px3,short,,,0.4,1.5,3.0,60,35,0.22892382643665893,0.4039224446119547,0.8285714285714286,3.2714062269146194,2.7486870466023197,-1.729534121544597,0.8857692254533093,131,0.19141711187406568,0.3044827875597723,0.7480916030534351,2.475056611714396,3.504699968775438,-4.955121951219512,0.965048923400578,255,0.34761282500970075,0.4625490324417888,0.8274509803921568,4.881538956258006,8.768132893093172,-6.857825917945238,0.9671212122657082,False,False,0.6859468455452863
failed_spike_cl0.40_rv2_px3,short,,,0.4,2.0,3.0,60,35,0.22892382643665893,0.4039224446119547,0.8285714285714286,3.2714062269146194,2.7486870466023197,-1.729534121544597,0.8857692254533093,131,0.19141711187406568,0.3044827875597723,0.7480916030534351,2.475056611714396,3.504699968775438,-4.955121951219512,0.965048923400578,254,0.34669624677161964,0.4587468416165982,0.8267716535433071,4.856122610313066,8.712980515818257,-6.857825917945238,0.9671212122657082,False,False,0.6859468455452863
failed_spike_cl0.40_rv1.5_px20,short,,,0.4,1.5,20.0,60,19,0.36014882148521776,0.4039224446119547,0.8947368421052632,25.357484468183657,5.286924766756266,-0.16083225364210785,0.8857692254533093,93,0.2260353769049847,0.33558823529411763,0.7634408602150538,2.836586943499635,3.2060462771059415,-4.955121951219512,0.965048923400578,123,0.4627385578315839,0.5685714285714285,0.8780487804878049,10.756461690205267,12.698890764523867,-1.3068036529680367,0.9671212122657082,False,False,0.6771414735592031
failed_spike_cl0.40_rv2_px20,short,,,0.4,2.0,20.0,60,19,0.36014882148521776,0.4039224446119547,0.8947368421052632,25.357484468183657,5.286924766756266,-0.16083225364210785,0.8857692254533093,93,0.2260353769049847,0.33558823529411763,0.7634408602150538,2.836586943499635,3.2060462771059415,-4.955121951219512,0.965048923400578,122,0.461773925539365,0.5587314418249105,0.8770491803278688,10.656967738879661,12.573374784855455,-1.3068036529680367,0.9671212122657082,False,False,0.6771414735592031
failed_spike_cl0.40_rv3_px20,short,,,0.4,3.0,20.0,60,19,0.36014882148521776,0.4039224446119547,0.8947368421052632,25.357484468183657,5.286924766756266,-0.16083225364210785,0.8857692254533093,93,0.2260353769049847,0.33558823529411763,0.7634408602150538,2.836586943499635,3.2060462771059415,-4.955121951219512,0.965048923400578,121,0.4627626118748876,0.5685714285714285,0.8760330578512396,10.598318949914924,12.501117895739771,-1.3068036529680367,0.9671212122657082,False,False,0.6771414735592031
failed_spike_cl0.40_rv5_px20,short,,,0.4,5.0,20.0,60,19,0.36014882148521776,0.4039224446119547,0.8947368421052632,25.357484468183657,5.286924766756266,-0.16083225364210785,0.8857692254533093,91,0.21958128522774673,0.33558823529411763,0.7582417582417582,2.745777303113823,3.056379626921826,-4.955121951219512,0.965048923400578,118,0.4641109964430142,0.572796048063833,0.8813559322033898,10.398434820216547,12.327945910813607,-1.3068036529680367,0.9671212122657082,False,False,0.657806742825225
failed_spike_cl0.40_rv10_px20,short,,,0.4,10.0,20.0,60,19,0.36014882148521776,0.4039224446119547,0.8947368421052632,25.357484468183657,5.286924766756266,-0.16083225364210785,0.8857692254533093,88,0.2127129023405524,0.34735383854927104,0.75,2.635417472482282,2.8823940192765596,-4.955121951219512,0.904944742467027,104,0.4518596077407891,0.572796048063833,0.8653846153846154,9.064705787506439,10.834754542016416,-1.3068036529680367,0.9671212122657082,False,False,0.637230906542931
failed_spike_cl0.40_rv10_px1,short,,,0.4,10.0,1.0,60,34,0.22259142949237581,0.3997261992645027,0.8235294117647058,3.1454733622605726,2.6027032950343014,-1.729534121544597,0.8857692254533093,127,0.1683367660025207,0.3031749485623515,0.7322834645669292,2.1669508301559355,2.9446928863470805,-4.955121951219512,0.904944742467027,246,0.29965262519366875,0.44565832742304623,0.8048780487804879,3.6130257773489216,6.900152634231333,-6.857825917945238,0.9671212122657082,False,False,0.598495794684459
failed_spike_cl0.40_rv3_px1,short,,,0.4,3.0,1.0,60,35,0.22892382643665893,0.4039224446119547,0.8285714285714286,3.2714062269146194,2.7486870466023197,-1.729534121544597,0.8857692254533093,137,0.16346047509546496,0.29270269544726213,0.7226277372262774,2.1167618654650693,3.0143611827603136,-4.955121951219512,0.965048923400578,279,0.3242836867688868,0.4477464788732394,0.8172043010752689,4.154629025867957,8.319448387122081,-6.857825917945238,0.9671212122657082,False,False,0.585763708193632
failed_spike_cl0.40_rv5_px1,short,,,0.4,5.0,1.0,60,34,0.22259142949237581,0.3997261992645027,0.8235294117647058,3.1454733622605726,2.6027032950343014,-1.729534121544597,0.8857692254533093,134,0.16223650764204403,0.2913513477236311,0.7238805970149254,2.1053502735165077,2.9431337048172836,-4.955121951219512,0.965048923400578,272,0.3167577786480917,0.44565832742304623,0.8161764705882353,4.00480895668735,7.962197796821179,-6.857825917945238,0.9671212122657082,False,False,0.5768072529479537
