symbol,event_date,entry_date,previous_close,entry_open,event_open,event_high,event_low,event_close,event_return,opening_gap,intraday_return,close_location,event_volume,event_dollar_volume,prior_20d_avg_dollar_volume,relative_dollar_volume,max_forward_60d_return,max_forward_60d_drawdown,forward_return_1d,above_entry_open_1d,gain_retention_1d,forward_return_2d,above_entry_open_2d,gain_retention_2d,forward_return_3d,above_entry_open_3d,gain_retention_3d,forward_return_5d,above_entry_open_5d,gain_retention_5d,forward_return_10d,above_entry_open_10d,gain_retention_10d,forward_return_20d,above_entry_open_20d,gain_retention_20d,forward_return_40d,above_entry_open_40d,gain_retention_40d,forward_return_60d,above_entry_open_60d,gain_retention_60d,consecutive_days_above_100pct_event_close,consecutive_days_above_90pct_event_close,consecutive_days_above_80pct_event_close,consecutive_days_above_70pct_event_close,days_to_5pct_breach,days_to_10pct_breach,days_to_20pct_breach,days_to_30pct_breach,days_to_40pct_breach
ACET,2024-01-09,2024-01-10,39.36000061035156,55.20000076293945,40.31999969482422,60.31999969482422,39.84000015258789,55.20000076293945,0.40243902202638737,0.024390220263873053,0.36904764833183634,0.7500000465661297,452294.0,24966629.145072937,1751886.9335116385,14.251278816851267,-0.02028983544211682,-0.43478260268636226,-0.028985548309857667,0,0.8989897554668296,-0.1188406029460658,0,0.5858585031503764,-0.034782644150462394,0,0.8787877547255646,-0.2057971096619715,0,0.2828282512045557,-0.3043478080590869,0,-0.060606002223795086,-0.06956521919409131,0,0.7575757502779744,-0.3072463559793893,0,-0.07070700259442761,-0.34782609597045655,0,-0.21212124861012807,0,1,4,9,2.0,2.0,5.0,10.0,45.0
ACH,2019-08-07,2019-08-08,2.8424456119537354,4.02929152196841,3.2114654568460352,4.3683909762509385,3.2014919712385215,4.059212684631348,0.4280704853456372,0.12982476897373485,0.2639751973598623,0.7350428012265715,6438700.0,26136052.71253586,2515821.5531289577,10.38867509503213,1.0346536305199283,0.12128719123318343,0.12128719123318343,1,1.3770485732217417,0.15346551273357334,1,1.4836062217019683,0.1930693640486929,1,1.6147533129773326,0.17574281223384336,1,1.5573769014190482,0.16336629804833303,1,1.5163924066878927,0.7103959884147597,1,3.3278665525225772,0.4758712102355689,1,2.5512440405988763,0.6665458833897253,1,3.1826581059905856,60,60,60,60,,,,,
ACH,2020-03-30,2020-03-31,5.504409313201904,9.470381677409597,7.492389645166105,8.930928037847089,6.053850776131816,8.381486892700195,0.5226859806006505,0.3611614287469833,0.11866671244303384,0.8090280186569183,18936900.0,158719379.13837433,16294556.070420742,9.740638434850961,-0.03481012021528085,-0.40084396903003405,-0.03481012021528085,0,1.2638891858336943,-0.15295382391265022,0,0.874999440638855,-0.21097048319731182,0,0.6840279107123709,-0.2858650374189209,0,0.4374999689243808,-0.3027425799033251,0,0.38194471721932377,-0.17194094591928755,0,0.8125001553780958,-0.18565411912034213,0,0.767360954006592,-0.25813397061802046,0,0.5287814097856545,1,2,5,6,3.0,3.0,6.0,7.0,
ACH,2020-07-21,2020-07-22,7.93520450592041,13.281974854676621,10.233814875259231,15.390698115014924,10.153863271007072,14.391302108764648,0.813601917635189,0.2896724801010284,0.4062499941792337,0.8091602970076829,61462200.0,884521088.4693146,7844464.623727798,112.75735577847222,1.0545686174357436,-0.04063212188037413,-0.03160271463502584,0,0.7631582096069417,0.12189613150368483,1,1.0789477066148634,0.12866807923447499,1,1.0928794723672761,0.21519921654866292,1,1.2708979071330835,0.2505642154209087,1,1.3436534716632575,0.2791571229580696,1,1.4024769750073451,0.13490445474773693,1,1.1057094182334868,0.9702784969443572,1,2.8243044124939494,0,0,60,60,1.0,1.0,,,
ACH,2020-09-24,2020-09-25,13.784307479858398,20.261628131328806,19.18207460132337,22.1508472333791,19.092111620967668,20.301610946655273,0.4728060133829679,0.39158783488776483,0.05836367382570096,0.3954246064222812,17942300.0,364257594.0881729,16191871.356339455,22.496324610778142,0.4165338695976948,0.004440066628287553,0.004440066628287553,1,1.0076688409292045,0.07005436504652884,1,1.211656965990663,0.16033559031583766,1,1.4923320370483097,0.1129748271809865,1,1.345092281289948,0.3468181597803117,1,2.0720872217981916,0.19733602766043923,1,1.607362602372178,0.15096209221723167,1,1.4631907927083383,0.41308001974494357,1,2.278088549300193,60,60,60,60,,,,,
ACHR,2023-07-31,2023-08-01,4.78000020980835,6.550000190734863,5.28000020980835,6.869999885559082,5.230000019073486,6.730000019073486,0.40794973298616655,0.10460250586893749,0.27462116508472034,0.9146342208029531,41685500.0,280543415.7950878,27433668.050379753,10.22624518456271,0.10229001220557499,-0.2687023171955628,0.0,1,0.9076923866949215,-0.021374097594804353,0,0.8358973318146272,-0.07786262809629285,0,0.6461537821993493,-0.14045802282499287,0,0.4358974296273872,0.0015266796570208019,1,0.9128204651681425,-0.02442752970841011,0,0.8256409303362852,-0.26717556473897786,0,0.010256401478342054,-0.2427481078301318,0,0.09230761330507849,0,2,37,60,3.0,3.0,38.0,,
ACMR,2024-02-28,2024-02-29,21.790000915527344,31.709999084472656,25.200000762939453,31.0049991607666,25.170000076293945,30.68000030517578,0.4079852692118755,0.15649379091958537,0.21746029271140044,0.9443018154954531,12244400.0,375658195.73669434,27422952.9863739,13.698677743544026,0.06937877093842992,-0.29738248723080885,-0.02491324601032696,0,1.0269966015293117,0.06937877093842992,1,1.363329557254791,0.00662254802536788,1,1.1394825485097362,-0.03941974254461844,0,0.9752529543523596,-0.09334592147377485,0,0.782902087999794,-0.0949226871156581,0,0.7772778764707396,-0.10785235785831271,0,0.731158655372759,-0.29738248723080885,0,0.05511808827441793,3,10,50,60,8.0,11.0,51.0,,
ACON,2024-01-26,2024-01-29,16868.92578125,22522.05078125,28491.75,34823.25,24331.05078125,25687.80078125,0.5227881795414784,0.6890079646724689,-0.0984126709924803,0.1293103544560449,3726.0,95712745.7109375,6183567.666601563,15.478563649897023,0.004016029429491308,-0.8895582367627559,0.004016029429491308,1,0.6512819626936542,-0.024096436738647586,0,0.5794870466045839,-0.03614461174768824,0,0.5487178601295517,-0.04417675732723747,0,0.5282049953225326,-0.2570281382221764,0,-0.01538470397301243,-0.8566265135990856,0,-1.5466667618991934,-0.8626506119436768,0,-1.5620513828205838,-0.8867469944819704,0,-1.6235898388222705,0,0,6,7,1.0,1.0,7.0,8.0,16.0
ACON,2025-03-03,2025-03-04,90.44999694824219,172.8000030517578,194.6699981689453,229.5,133.3800048828125,205.1999969482422,1.2686567592220364,1.152238858342256,0.0540915337665866,0.7471909666440187,3352415.0,687915547.7692413,6405884.957139206,107.3880583825621,0.09374998068368035,-0.9630208347590616,-0.10156251586697695,0,0.5647059089477805,0.09374998068368035,1,0.858823556006604,-0.75,0,-0.4117646726388038,-0.8140624971025521,0,-0.508235258214614,-0.8634375048842694,0,-0.5825882124225559,-0.9375,0,-0.6941176188018068,-0.9612268536404,0,-0.729847469620715,-0.9601273162916446,0,-0.7281916957015825,0,0,0,2,1.0,1.0,1.0,3.0,3.0
ACR,2020-04-06,2020-04-07,3.180000066757202,5.519999980926514,4.050000190734863,7.199999809265137,3.5999999046325684,5.010000228881836,0.575471737015016,0.2735849389037408,0.23703703529277687,0.3916667671115337,2368700.0,11867187.542152405,3294579.1887810947,3.6020343910880297,1.402173962807911,0.07065214996977875,0.07065214996977875,1,1.491803026664966,0.6250000539897147,1,3.1639342553660788,0.8913042783436715,1,3.967212497509959,0.663043539292721,1,3.2786883644056988,0.39673914217167705,1,2.475409601128358,0.4076086970606012,1,2.508196452201574,0.2065217156566459,1,1.9016390559302578,0.37500003239382873,1,2.409835898981927,60,60,60,60,,,,,
